form,kind,meaning,name,original,sex,source
"variant spelling",English,supplanter,JAQUALINA,Jacquelina,female,Latin
spelling,Variant,supplanter,JAQUALINE,Jacquelyn,female,English
spelling,Variant,supplanter,JAQUELINE,Jacquelyn,female,English
spelling,Variant,supplanter,JAQUELYN,Jacquelyn,female,English
form,Anglicized,"to shout and sing",JARONA,Yarona,female,Hebrew
spelling,Variant,"jasmine flower",JASMINE,Jasmin,female,English
spelling,Variant,"jasmine flower",JASMYN,Jasmin,female,English
"feminine form",Elaborated,jade,JAYDA,"unisex Jade",female,English
"feminine form",Elaborated,jade,JAYDE,"unisex Jade",female,English
spelling,Variant,jade,JAYDEN,"unisex Jaden",female,English
spelling,Variant,jade,JAYDON,"unisex Jaden",female,English
form,Variant,supplanter,JAYMA,Jamie,female,English
spelling,Variant,supplanter,JAYME,Jamie,female,English
form,Pet,"God is gracious",JAYNA,Jane,female,English
spelling,Variant,"God is gracious",JAYNE,Jane,female,English
spelling,Variant,"God is gracious",JAYNIE,Janie,female,English
spelling,Variant,"jasmine flower",JAZMIN,Jasmin,female,English
spelling,Variant,"jasmine flower",JAZMINE,Jasmin,female,English
form,Scottish,"God is gracious",JEAN,Jeanne,female,French
spelling,Variant,"well born",JEANA,Gena,female,English
form,English,"God is gracious",JEANETTA,Jeanette,female,French
form,Pet,"God is gracious",JEANETTE,Jeanne,female,French
form,Pet,"God is gracious",JEANIE,Jean,female,Scottish
"variant spelling",English,"God is gracious",JEANINE,Jeannine,female,French
"elaborated form",English,"God is gracious",JEANNA,Jean,female,Scottish
spelling,Variant,"God is gracious",JEANNETTE,Jeanette,female,French
spelling,Variant,"God is gracious",JEANNIE,Jeanie,female,Scottish
form,Pet,"God is gracious",JEANNINE,Jeanne,female,French
spelling,Variant,friend,JEDIDA,Jedidah,female,English
form,Anglicized,friend,JEDIDAH,Yediydah,female,Hebrew
form,Anglicized,dove,JEMIMA,Yemiymah,female,Hebrew
spelling,Variant,"precious stone",JEMMA,Gemma,female,Italian
form,Short,"white and smooth",JEN,Jennifer,female,English
spelling,Variant,"well born",JENA,Gena,female,English
form,Pet,"white and smooth",JENAE,Jennifer,female,English
form,Elaborated,"white and smooth",JENELLE,Jen,female,English
form,Elaborated,"white and smooth",JENESSA,Jen,female,English
spelling,Variant,"white and smooth",JENI,Jenny,female,English
spelling,Variant,"white and smooth",JENIFER,Jennifer,female,English
spelling,Variant,"white and smooth",JENN,Jen,female,English
form,Pet,"white and smooth",JENNA,Jennifer,female,English
spelling,Variant,"white and smooth",JENNI,Jenny,female,English
form,Elaborated,"white and smooth",JENNICA,Jen,female,English
spelling,Variant,"white and smooth",JENNIE,Jenny,female,English
form,English,"white and smooth",JENNIFER,Guinevere,female,French
form,Pet,"white and smooth",JENNY,Jennifer,female,English
spelling,Variant,"spear ruler",JERI,Jerri,female,English
spelling,Variant,"spear ruler",JERRI,Jerry,female,English
spelling,Variant,"spear ruler",JERRIE,Jerry,female,English
"variant spelling",Feminine,"spear ruler",JERRY,"unisex Gerry",female,English
form,Anglicized,dispossessor,JERUSHA,Yeruwsha,female,Hebrew
form,Contracted,"one who beholds",JESCA,Jessica,female,English
form,Short,"one who beholds",JESS,Jessica,female,English
form,Pet,"one who beholds",JESSA,Jessica,female,English
form,Elaborated,"one who beholds",JESSALYN,Jessa,female,English
form,English,"jasmine flower",JESSAMYN,Jessamine,female,Latin
spelling,Variant,"one who beholds",JESSI,Jessie,female,English
form,Feminine,gift,JESSIE,Jesse,female,English
spelling,Variant,"one who beholds",JESSIKA,Jessica,female,English
spelling,Variant,"one who beholds",JESSYE,Jessie,female,English
form,Feminine,"jet (the mineral)",JETTA,Jett,female,English
spelling,Variant,jewel,JEWELL,Jewel,female,English
"short form",English,"descended from Jupiter (Jove)",JILL,"Latin Jillian",female,Roman
form,Pet,"descended from Jupiter (Jove)",JILLIE,Jill,female,English
spelling,Variant,"descended from Jupiter (Jove)",JILLY,Jillie,female,English
spelling,Variant,"maiden, virgin",JINNY,Ginny,female,English
form,Short,"God is gracious",JO,Joanne,female,English
"contracted form","Medieval English","God is gracious",JOAN,"French Johanne",female,Old
form,Elaborated,"God is gracious",JOANDRA,Joanne,female,English
spelling,Variant,"God is gracious",JOANN,Joanne,female,English
form,English,"God is gracious",JOANNE,"Johanne (Latin Joanna)",female,French
form,Feminine,Gaut,JOCELIN,"unisex Jocelyn",female,English
form,Feminine,Gaut,JOCELINE,"unisex Jocelyn",female,English
form,Elaborated,Jewess,JODENE,Jody,female,English
spelling,Variant,Jewess,JODI,Jody,female,English
spelling,Variant,Jewess,JODIE,Jody,female,English
form,Pet,Jewess,JODY,Judith,female,English
form,English,"Jehovah is God",JOELLE,Joëlle,female,French
form,Pet,"God is gracious",JOETTA,Jo,female,English
spelling,Variant,"God is gracious",JOHNA,Johnna,female,English
form,Feminine,"God is gracious",JOHNNA,John,female,English
spelling,Variant,joy,JOI,Joy,female,English
spelling,Variant,lady,JOISSE,Joyce,female,English
"variant spelling",English,pretty,JOLEEN,Jolene,female,French
form,Pet,"God is gracious",JONELLE,Jonie,female,English
form,Diminutive,"God is gracious",JONETTE,Jonie,female,English
spelling,Variant,"God is gracious",JONI,Jonie,female,English
form,Feminine,"God is gracious",JONIE,John,female,English
spelling,Variant,"God is gracious",JONNA,Johnna,female,English
spelling,Variant,"descended from Jupiter (Jove)",JOOLS,Jules,female,English
form,Anglicized,"flowing down",JORDAN,"Iordanes and Hebrew unisex Yarden",female,Greek
form,Feminine,"flowing down",JORDANA,"unisex Jordan",female,English
spelling,Variant,"flowing down",JORDI,"unisex Jordie",female,English
form,Pet,"flowing down",JORDIE,"unisex Jordan",female,English
spelling,Variant,"flowing down",JORDON,"unisex Jordan",female,English
spelling,Variant,"flowing down",JORDYN,"unisex Jordan",female,English
form,Short,pearl,JORIE,Marjorie,female,English
spelling,Modern,"earth-worker, farmer",JORJA,Georgia,female,English
form,Feminine,"(God) shall add (another son)",JOSEPHA,Joseph,female,English
form,English,"(God) shall add (another son)",JOSEPHINE,Joséphine,female,French
form,Pet,"(God) shall add (another son)",JOSETTE,Joséphine,female,French
form,Pet,"(God) shall add (another son)",JOSIE,Josephine,female,English
form,Pet,Gaut,JOSS,"unisex Jocelyn",female,English
form,Feminine,Gaut,JOSSLYN,"unisex Jocelyn",female,English
"unisex form",English,lord,JOYCE,"French Josce",female,Norman
spelling,Variant,joy,JOYE,Joy,female,English
form,Pet,"God is gracious",JUANITA,Juana,female,Spanish
spelling,Variant,Jewess,JUDI,Judy,female,English
spelling,Variant,Jewess,JUDIE,Judy,female,English
form,Anglicized,Jewess,JUDITH,Yehuwdiyth,female,Hebrew
form,Pet,Jewess,JUDY,Judith,female,English
form,Pet,"descended from Jupiter (Jove)",JULES,"Latin Julia",female,Roman
"variant spelling",English,"descended from Jupiter (Jove)",JULI,Julie,female,French
form,Feminine,"descended from Jupiter (Jove)",JULIA,"Latin Julius",female,Roman
form,Feminine,"descended from Jupiter (Jove)",JULIANA,"Latin Julianus",female,Roman
"feminine form",English,"descended from Jupiter (Jove)",JULIANNE,"Latin Julianus",female,Roman
form,French,"descended from Jupiter (Jove)",JULIE,"Latin Julia",female,Roman
form,Pet,"descended from Jupiter (Jove)",JULIET,Julie,female,French
form,Pet,"descended from Jupiter (Jove)",JULIETTE,Julie,female,French
form,Feminine,"fair, just",JUSTINA,"Latin Justinus",female,Roman
form,Feminine,"fair, just",JUSTINE,Justin,female,English
"pet form",Unisex,"fair, just",JUSTY,"Justin and Justine, both",female,English
spelling,Variant,"she who entangles men",KACEY,Casey,female,English
spelling,Variant,"she who entangles men",KACIE,Kacey,female,English
"variant spelling",Feminine,"flow of rhythm",KADENCE,"unisex Cadence",female,English
spelling,Variant,slender,KAELEA,Kayley,female,English
spelling,Variant,slender,KAELEE,Kayley,female,English
spelling,Variant,pure,KAETY,Katie,female,English
spelling,Variant,slender,KAILEE,Kayley,female,English
spelling,Variant,slender,KAILEY,Kayley,female,English
spelling,Variant,girl,KAILYN,Kaylyn,female,English
form,Anglicized,pure,KAITLIN,"Gaelic Caitlín",female,Irish
spelling,Variant,pure,KAITLYN,Kaitlin,female,English
spelling,Variant,pure,KAITLYNN,Kaitlin,female,English
spelling,Variant,slender,KALEIGH,Kayley,female,English
spelling,Variant,slender,KALEY,Kayley,female,English
spelling,Variant,slender,KALIE,Kayley,female,English
spelling,Variant,beauty,KALLA,Calla,female,English
spelling,Variant,girl,KALYN,Kaylyn,female,English
"variant spelling",English,"most beautiful",KALYSTA,Callista,female,Latin
"feminine form",English,"crooked nose",KAMRYN,"unisex Cameron",female,Scottish
"variant spelling",English,"prince of servants",KANDACE,Kandake,female,Greek
form,Pet,"prince of servants",KANDI,Kandace,female,English
spelling,Variant,beloved,KARENA,Carina,female,English
spelling,Variant,love,KARENZA,Kerensa,female,English
spelling,Variant,man,KARI,Carrie,female,English
spelling,Variant,beloved,KARINA,Carina,female,English
spelling,Variant,grace,KARISSA,Charissa,female,English
form,Feminine,man,KARLA,Karl,female,German
spelling,Variant,man,KARLEE,Carlie,female,English
form,Pet,man,KARLENE,Karla,female,German
spelling,Variant,man,KARLY,Carly,female,English
"variant form",English,man,KAROLYN,Caroline,female,French
"variant spelling",English,pure,KARON,Karen,female,Danish
spelling,Variant,man,KARRIE,Carrie,female,English
"variant spelling",English,pure,KARYN,Karen,female,Danish
"variant spelling",English,"she who entangles men",KASANDRA,Cassandra,female,Latin
spelling,Variant,"vigilant, wakeful",KASEY,"unisex Casey",female,English
"variant spelling",English,cassia,KASSIA,Cassia,female,Latin
spelling,Variant,curly(-headed),KASSIDY,"unisex Cassidy",female,English
form,Pet,cassia,KASSY,Kassia,female,English
form,Pet,pure,KAT,Katherine,female,English
form,Pet,pure,KATE,Katherine,female,English
spelling,Variant,pure,KATEE,Katie,female,English
spelling,Variant,pure,KATELIN,Kaitlin,female,English
spelling,Variant,pure,KATELYN,Katelin,female,English
spelling,Variant,pure,KATELYNN,Katelyn,female,English
spelling,Variant,pure,KATEY,Katie,female,English
form,Short,pure,KATH,Katherine,female,English
spelling,Variant,pure,KATHARINE,Katherine,female,English
spelling,Variant,pure,KATHARYN,Katherine,female,English
form,English,pure,KATHERINE,Katherina,female,Latin
spelling,Variant,pure,KATHERYN,Katherine,female,English
spelling,Variant,pure,KATHERYNE,Katherine,female,English
spelling,Variant,pure,KATHI,Kathy,female,English
spelling,Variant,pure,KATHIE,Kathy,female,English
form,Anglicized,pure,KATHLEEN,"Gaelic Caitlín",female,Irish
spelling,Variant,pure,KATHLYN,Kathleen,female,English
spelling,Variant,pure,KATHRYN,Katherine,female,English
form,Pet,pure,KATHY,Katherine,female,English
form,Pet,pure,KATIE,Katherine,female,English
spelling,Variant,pure,KATLYN,Kaitlin,female,English
spelling,Variant,pure,KATRINA,Catrina,female,English
form,Anglicized,pure,KATRIONA,"Gaelic Catríona and Scottish Gaelic Catrìona, both",female,Irish
spelling,Variant,pure,KATRYNA,Katrina,female,English
spelling,Variant,pure,KATY,Katie,female,English
form,Variant,slender,KAYLA,Kayley,female,English
spelling,Variant,slender,KAYLEAH,Kayley,female,English
spelling,Variant,slender,KAYLEE,Kayley,female,English
spelling,Variant,slender,KAYLEIGH,Kayley,female,English
spelling,Variant,slender,KAYLIE,Kayley,female,English
form,Anglicized,girl,KAYLIN,"Gaelic Cailín",female,Irish
spelling,Variant,slender,KAYLY,Kayley,female,English
spelling,Variant,girl,KAYLYN,Kaylin,female,English
spelling,Variant,girl,KAYLYNN,Kaylin,female,English
form,Anglicized,"little black one",KEARA,"Gaelic Ciara",female,Irish
form,Anglicized,"beloved, comely",KEAVY,"Gaelic Caoimhe",female,Irish
spelling,Variant,slender,KEELEIGH,Kayley,female,English
spelling,Variant,"little companion",KEELIN,"unisex Keelan",female,English
spelling,Variant,slender,KEELY,Keeley,female,English
form,Anglicized,"beloved, comely",KEEVA,"Gaelic Caoimhe",female,Irish
spelling,Variant,slender,KEIGHLEY,Kayley,female,English
spelling,Variant,"little black one",KEIRA,Keara,female,English
form,Modern,cassia,KEISHA,Keziah,female,English
"feminine form",English,"forest, wood",KEITHA,"Keith, probably",female,Scottish
spelling,Variant,"forest, wood",KEITHIA,"Keitha, probably",female,English
spelling,Variant,"little companion",KELAN,"unisex Keelan",female,English
spelling,Variant,ship-victory,KELCEY,"unisex Kelsey",female,English
"variant spelling",Feminine,bright-headed,KELIA,"unisex Kelly",female,English
form,Short,bright-headed,KELL,"unisex Kelly",female,English
form,Feminine,bright-headed,KELLEIGH,"unisex Kelly",female,English
spelling,Variant,bright-headed,KELLEY,"unisex Kelly",female,English
form,Feminine,bright-headed,KELLI,"unisex Kelly",female,English
"unisex form",Anglicized,bright-headed,KELLY,"Gaelic Ceallach",female,Irish
form,Feminine,ship-victory,KELSI,"unisex Kelsey",female,English
form,Feminine,ship-victory,KELSIE,"unisex Kelsey",female,English
"short form",Feminine,"exalted effigy",KENDA,"unisex Kendall",female,English
spelling,Variant,"exalted effigy",KENDAL,"unisex Kendall",female,English
form,Feminine,"keen power",KENDRA,Kendrick,female,English
form,Short,"comely, finely made",KENZIE,"unisex Mackenzie",female,Scottish
form,Anglicized,"horn of antimony",KEREN-HAPPUCH,"Qeren happuwk",female,Hebrew
spelling,Variant,"horn of antimony",KEREN-HAPUCH,Keren-happuch,female,English
form,Anglicized,"horn (of an animal)",KEREN,Qeren,female,Hebrew
form,Variant,"horn (of an animal)",KERENA,Keren,female,English
spelling,Variant,"horn of antimony",KERENHAPPUCH,Keren-happuch,female,English
spelling,Variant,"horn of antimony",KERENHAPUCH,Keren-happuch,female,English
spelling,Variant,love,KERENZA,Kerensa,female,English
"variant spelling",Feminine,"Ciar's people",KERI,"unisex Kerry",female,English
"variant spelling",Feminine,"Ciar's people",KERRI,"unisex Kerry",female,English
spelling,Variant,"Ciar's people",KERRIE,"unisex Kerry",female,English
form,Variant,cassia,KESHIA,Keisha,female,English
form,Anglicized,incense,KETURAH,Qetuwrah,female,Hebrew
spelling,Variant,cassia,KETZIA,Kezia,female,English
spelling,Variant,cassia,KEYSHA,Keisha,female,English
form,Anglicized,cassia,KEZIA,Qetsiyah,female,Hebrew
spelling,Variant,cassia,KEZIAH,Kezia,female,English
form,Anglicized,"little black one",KIARA,"Gaelic Ciara",female,Irish
spelling,Variant,"little black one",KIARRA,Kiara,female,English
spelling,Variant,"little black one",KIERA,Kiara,female,English
spelling,Variant,"little black one",KIERRA,Kiara,female,English
spelling,Variant,slender,KILEY,Kylie,female,English
spelling,Variant,slender,KILIE,Kylie,female,English
form,Short,"King's City Meadow",KIM,"unisex Kimberley",female,English
form,Feminine,"King's City Meadow",KIMBERLEE,"unisex Kimberley",female,English
form,Feminine,"King's City Meadow",KIMBERLEIGH,"unisex Kimberley",female,English
form,Feminine,"King's City Meadow",KIMBERLY,"unisex Kimberley",female,English
form,Pet,"King's City Meadow",KIMBRA,Kimberly,female,English
form,Pet,"King's City Meadow",KIMMY,Kimberly,female,English
form,"Medieval English","royal fortress",KINBOROUGH,Cyneburga,female,Anglo-Saxon
spelling,Variant,believer,KIRSTEEN,Kirstin,female,Scottish
form,Pet,believer,KIRSTIE,Kirstin,female,Scottish
spelling,Variant,believer,KIRSTIN,Kirstine,female,Scottish
form,Scottish,believer,KIRSTINE,Christina,female,Latin
form,Pet,believer,KIRSTY,Kirstine,female,Scottish
spelling,Variant,cassia,KISHA,Keisha,female,English
form,Pet,pure,KIT,Katherine,female,English
spelling,Variant,pure,KITTI,Kitty,female,English
form,Pet,pure,KITTY,Katherine,female,English
form,Pet,cassia,KIZZIE,Keziah,female,English
spelling,Variant,cassia,KIZZY,Kizzie,female,English
form,English,"clear, bright",KLARA,Clara,female,Latin
"variant spelling",English,lame,KLAUDIA,"Latin Claudia",female,Roman
spelling,Variant,helper,KODEY,"unisex Kody",female,English
spelling,Variant,helper,KODY,"unisex Cody",female,English
spelling,Variant,girl,KOLLEEN,Colleen,female,English
"variant spelling",English,maiden,KORRINE,Corinne,female,French
spelling,Variant,"short nose",KORTNEY,"unisex Courtney",female,English
spelling,Variant,"short nose",KOURTNEY,"unisex Courtney",female,English
spelling,Variant,believer,KRISSY,Chrissy,female,English
spelling,Variant,believer,KRISTA,Christa,female,Latin
spelling,Variant,"crystal, ice",KRISTAL,Crystal,female,English
form,English,believer,KRISTEEN,Christine,female,French
spelling,Variant,"crystal, ice",KRISTEL,Crystal,female,English
spelling,Variant,believer,KRISTI,Kristy,female,English
"variant spelling",English,believer,KRISTIA,Christia,female,French
spelling,Variant,believer,KRISTIE,Kristy,female,English
form,Short,believer,KRISTIN,"Kristina and English Kristina, both",female,Scandinavian
"variant spelling",English,believer,KRISTINA,Christina,female,Latin
"variant spelling",English,believer,KRISTINE,Christine,female,French
spelling,Variant,believer,KRISTY,Christy,female,English
spelling,Variant,"crystal, ice",KRYSTAL,Crystal,female,English
spelling,Variant,"crystal, ice",KRYSTELLE,Crystal,female,English
"variant spelling",English,believer,KRYSTEN,Kristen,female,German
"variant spelling",English,believer,KRYSTINA,Christina,female,Latin
"variant spelling",English,believer,KRYSTINE,Christine,female,French
spelling,Variant,"crystal, ice",KRYSTLE,Crystal,female,English
form,Feminine,"King's City Meadow",KYM,"unisex Kim",female,English
form,English,believer,KYRSTEN,Kirsten,female,Scottish
spelling,Variant,lace-like,LACEY,Lacy,female,English
spelling,Variant,lace-like,LACIE,Lacy,female,English
form,Elaborated,lady,LADONNA,Donna,female,English
form,Pet,"noble sort",LADY,Adelaide,female,English
"elaborated form",Modern,"earth-worker, farmer",LAGINA,Gina,female,English
spelling,Variant,"noble sort",LAIDEY,Lady,female,English
"pet form",English,torch,LAINEY,Elaine,female,French
form,Elaborated,cassia,LAKEISHA,Keisha,female,English
spelling,Variant,cassia,LAKESHIA,Lakeisha,female,English
spelling,Variant,cassia,LAKISHA,Lakeisha,female,English
"pet form",English,"to babble",LALLA,Lalage,female,Greek
"pet form",English,"to babble",LALLIE,Lalage,female,Greek
spelling,Variant,"to babble",LALLY,Lallie,female,English
form,Short,"little rock",LANA,Alana,female,Latin
spelling,Variant,torch,LANEY,Lainey,female,English
"variant spelling",English,laurel,LARA,Laura,female,Latin
"variant spelling",English,"land of the people of Lothar",LARAINE,Lorraine,female,French
"elaborated form",English,"land of the people of Lothar",LAREYNA,Lorraine,female,French
"pet form",English,laurel,LARI,Laura,female,Latin
spelling,Variant,"of Laurentum",LARYN,Lauren,female,English
"feminine form",Modern,"God is gracious",LASHAWN,Shawn,female,English
"feminine form",Elaborated,strong,LASHAY,"unisex Shay, probably",female,English
form,Elaborated,"God is gracious",LASHONDA,Shawna,female,English
"elaborated form",English,father,LATANYA,"Tania, probably",female,Latin
"elaborated form",English,birthday,LATASHA,Tasha,female,Russian
spelling,Variant,happiness,LATISHA,Letitia,female,English
form,Elaborated,invaluable,LATONYA,Tonya,female,English
form,Elaborated,toy,LATOYA,"Toya, probably",female,English
form,Feminine,laurel,LAURA,Laurus,female,Latin
"variant spelling",English,"land of the people of Lothar",LAURAINE,Lorraine,female,French
"pet form",English,laurel,LAUREEN,Laura,female,Latin
form,Elaborated,laurel,LAURELLE,Laurel,female,English
form,Unisex,"of Laurentum",LAUREN,Laurence,female,English
spelling,Variant,"of Laurentum",LAURENA,Lorena,female,English
form,Feminine,"of Laurentum",LAURENCIA,Laurence,female,English
spelling,Variant,"of Laurentum",LAURENE,Lauren,female,English
"pet form",Unisex,"of Laurentum",LAURIE,"Lauren and Laurence, both",female,English
"elaborated form",English,laurel,LAURINDA,Laura,female,Latin
"pet form",English,laurel,LAURINE,Laura,female,Latin
"pet form",English,laurel,LAURISSA,Laura,female,Latin
spelling,Variant,"of Laurentum",LAURYN,Lauren,female,English
spelling,Variant,"spring-like; to be verdant",LAVERN,Laverne,female,English
form,English,"spring-like; to be verdant",LAVERNE,"Latin Laverna",female,Roman
spelling,Variant,"yew tree",LAVONE,Lavonne,female,English
spelling,Variant,"leek garden",LAYTON,"unisex Leighton",female,English
spelling,Variant,meadow,LEAH,"English Lea",female,Old
form,Short,"foreign; the other",LEANORA,Eleanora,female,Latin
spelling,Variant,"God is my oath",LEESA,Lisa,female,English
"variant spelling",English,weary,LEIA,Leah,female,Hebrew
spelling,Variant,meadow,LEIGH,"unisex Lee",female,English
form,Pet,"foreign; the other",LENA,Eleanor,female,English
form,Pet,"foreign; the other",LENORA,Eleanora,female,Latin
spelling,Variant,"foreign; the other",LENORE,Lenora,female,Latin
"feminine form",English,lion,LEOLA,Leo,female,Latin
form,Feminine,lion,LEONA,Leo,female,Latin
"variant spelling",English,lion,LEONE,Leona,female,Latin
form,Short,"foreign; the other",LEONORA,Eleanora,female,Italian
form,Short,"foreign; the other",LEONORE,Eleonore,female,German
form,English,lion-like,LEONTYNE,Léontine,female,French
form,Short,"garden of hollies",LES,"unisex Lesley",female,English
form,Elaborated,"God is my oath",LESIA,Lisa,female,English
form,Feminine,"garden of hollies",LESLEIGH,"unisex Lesley",female,English
form,Anglicized,"garden of hollies",LESLEY,"unisex Leslie",female,Scottish
spelling,Variant,"garden of hollies",LESLY,"unisex Lesley",female,English
"pet form",Feminine,"garden of hollies",LESSIE,"unisex Leslie",female,Scottish
form,Short,truth,LETHA,Aletha,female,English
form,English,happiness,LETITIA,Lætitia,female,Latin
form,Pet,happiness,LETTIE,"English Lettice",female,Middle
spelling,Variant,happiness,LETTY,Lettie,female,English
spelling,Variant,"famous warrior",LEWELLA,Louella,female,English
form,Short,"defender of mankind",LEX,"unisex Alex",female,English
"pet form",English,"defender of mankind",LEXA,Alexandra,female,Latin
spelling,Variant,"defender of mankind",LEXI,Lexy,female,English
"short form",English,defender,LEXIA,Alexia,female,Latin
spelling,Variant,"defender of mankind",LEXIE,Lexy,female,English
form,Elaborated,"defender of mankind",LEXINE,Lexy,female,English
form,Short,defender,LEXUS,"unisex Alexus",female,Latin
"pet form",English,"defender of mankind",LEXY,Alexandra,female,Latin
form,Short,sun,LIANA,Eliana,female,Latin
form,Short,sun,LIANE,"Éliane",female,French
spelling,Variant,"God is my oath",LIBBIE,Libby,female,English
form,Pet,"God is my oath",LIBBY,Elizabeth,female,English
"pet form",English,"of Lydia",LIDDY,Lydia,female,Greek
spelling,Variant,lily,LILI,Lily,female,English
form,Elaborated,lily,LILIANNE,Lilian,female,English
form,Scottish,lily,LILIAS,Liliana,female,Latin
form,Pet,lily,LILITA,Lily,female,English
spelling,Variant,lily,LILLI,Lily,female,English
form,Short,lily,LILLIA,Lillian,female,English
spelling,Variant,lily,LILLIAN,Lilian,female,English
spelling,Variant,lily,LILLIE,Lily,female,English
spelling,Variant,lily,LILLY,Lily,female,English
spelling,Variant,"Lincoln's wetlands",LINDSEY,"unisex Lindsay",female,English
spelling,Variant,"Lincoln's wetlands",LINDSIE,"unisex Lindsay",female,English
form,Pet,serpent,LINDY,Linda,female,English
spelling,Variant,"little lake",LINETTE,Lynette,female,English
"short form",English,"twin flower",LINN,Linnaea,female,Latin
spelling,Variant,"little lake",LINNET,Linette,female,English
spelling,Variant,"little lake",LINNETTE,Linette,female,English
form,Pet,serpent,LINNIE,Linda,female,English
spelling,Variant,"Lincoln's wetlands",LINSAY,Linsey,female,English
form,Feminine,"Lincoln's wetlands",LINSEY,"unisex Lindsay",female,English
spelling,Variant,"Lincoln's wetlands",LINSY,Linsey,female,English
spelling,Variant,"Lincoln's wetlands",LINZI,Linsey,female,English
form,Short,"God is my oath",LIS,Elisabeth,female,English
spelling,Variant,"God is my oath",LISA,Liza,female,English
form,Contracted,"God is my oath",LISBETH,Elisabeth,female,English
"short form",English,honey-sap,LISSA,Melissa,female,Greek
form,Short,"elf army",LIVIA,"Olivia, probably",female,English
form,Pet,"elf army",LIVVY,"Olivia, probably",female,English
form,Short,"God is my oath",LIZ,Elizabeth,female,English
form,Short,"God is my oath",LIZA,Elizabeth,female,English
form,Short,"God is my oath",LIZBETH,Elizabeth,female,English
form,English,"God is my oath",LIZETTE,Lisette,female,French
form,Pet,"God is my oath",LIZZIE,Elizabeth,female,English
spelling,Variant,"God is my oath",LIZZY,Lizzie,female,English
form,Pet,sorrows,LOLA,Dolores,female,Spanish
"variant spelling",English,"land of the people of Lothar",LORAINE,Lorraine,female,French
"variant spelling",English,"land of the people of Lothar",LORAINNE,Lorraine,female,French
"variant spelling",English,"land of the people of Lothar",LORAYNE,Lorraine,female,French
spelling,Variant,laurel,LORELLE,Laurel,female,English
spelling,Variant,"of Laurentum",LOREN,"unisex Lauren",female,English
form,Elaborated,"of Laurentum",LORENA,Loren,female,English
spelling,Variant,"little laurel tree",LORENE,Loreen,female,English
form,English,"little laurel tree",LORETTA,Lauretta,female,Italian
form,English,"little laurel tree",LORETTE,Laurette,female,French
spelling,Variant,"land of the people of Lothar",LORI,Lorri,female,English
spelling,Variant,"land of the people of Lothar",LORIE,Lorrie,female,English
spelling,Variant,"of Laurentum",LORIN,"unisex Loren",female,English
form,Diminutive,"little sorrowful one",LORINA,"Lora (""sorrowful"")",female,Latin
"pet form",English,"land of the people of Lothar",LORRI,Lorraine,female,French
spelling,Variant,"land of the people of Lothar",LORRIE,Lorri,female,English
form,Pet,man,LOTTIE,Charlotte,female,French
"pet form",Feminine,"famous warrior",LOUELLA,"unisex Lou",female,English
form,Latin,"famous warrior",LOUISA,Louise,female,French
form,Feminine,"famous warrior",LOUISE,Louis,female,French
"variant spelling",English,"famous warrior",LOUIZA,Louisa,female,Latin
spelling,Variant,"famous warrior",LUANNE,Louanna,female,English
"variant spelling",English,"little light",LUCILE,Lucille,female,French
form,French,"little light",LUCILLE,"Latin Lucilla",female,Roman
form,English,light,LUCY,Lucie,female,French
spelling,Variant,"famous warrior",LUELLA,Louella,female,English
"variant spelling",English,purity,LUVINIA,Lavinia,female,Latin
"contracted form",English,"of Lydia",LYDA,Lydia,female,Greek
spelling,Variant,serpent,LYNDA,Linda,female,English
form,Pet,serpent,LYNDI,Lynda,female,English
form,Feminine,"Lincoln's wetlands",LYNDSAY,"unisex Lindsay",female,English
form,Feminine,"Lincoln's wetlands",LYNDSEA,"unisex Lindsay",female,English
form,Feminine,"Lincoln's wetlands",LYNDSEY,"unisex Lindsay",female,English
spelling,Variant,"little lake",LYNET,Lynette,female,English
"diminutive form",English,"little lake",LYNETTE,"Lyn (""lake"")",female,Welsh
"elaborated form",English,lake,LYNNA,Lynn,female,Welsh
spelling,Variant,lake,LYNNE,Lynn,female,Welsh
spelling,Variant,"little lake",LYNNETTE,Lynette,female,English
form,Feminine,"Lincoln's wetlands",LYNSAY,"unisex Lindsay",female,English
form,Feminine,"Lincoln's wetlands",LYNSEY,"unisex Lindsay",female,English
form,Short,"freer; liberator",LYS,Lysandra,female,English
form,Feminine,"freer; liberator",LYSANDRA,Lysander,female,English
form,English,"God is my oath",LYSETTE,Lisette,female,French
form,Anglicized,"to press, to squeeze",MAACHAH,"unisex Maakah",female,Hebrew
form,Pet,lovable,MABELLA,Mabel,female,English
spelling,Variant,lovable,MABLE,Mabel,female,English
spelling,Variant,"gift of God",MACIE,"unisex Macey",female,English
spelling,Variant,"gift of God",MACY,"unisex Macey",female,English
"variant spelling",English,"of Magdala",MADALYN,Madeline,female,French
form,Pet,"of Magdala",MADDIE,Madeline,female,French
spelling,Variant,"son of Madde",MADDISON,"unisex Madison",female,English
spelling,Variant,"of Magdala",MADELINE,Madeleine,female,French
"variant spelling",English,"of Magdala",MADELYN,Madeline,female,French
form,Pet,pearl,MADGE,Margaret,female,English
"variant spelling",Feminine,"son of Madde",MADISYN,"unisex Madison",female,English
form,Contracted,"of Magdala",MADLYN,Madelyn,female,English
"variant spelling",English,"of Magdala",MADOLINE,Madeline,female,French
form,Feminine,"son of Madde",MADYSON,"unisex Madison",female,English
