"id","name","derivation","form","kind","meaning","original","sex","source"
"915","Denise","Feminine form of French Denis: follower of Dionysos","form","Feminine","follower of Dionysos","Denis","female","French"
"916","Dennis","English form of Latin Dionysius: follower of Dionysos","form","English","follower of Dionysos","Dionysius","male","Latin"
"917","Denny","Pet form of English Dennis: follower of Dionysos","form","Pet","follower of Dionysos","Dennis","male","English"
"918","Denys","Variant spelling of English Dennis: follower of Dionysos","spelling","Variant","follower of Dionysos","Dennis","male","English"
"919","Deon","English variant spelling of French Dion: god, Zeus","variant spelling","English","god, Zeus","Dion","male","French"
"920","Deonne","English variant spelling of French Dion: god, Zeus","variant spelling","English","god, Zeus","Dion","male","French"
"921","Derby","Variant spelling of English unisex Darby: deer farm","spelling","Variant","deer farm","unisex Darby","female","English"
"922","Derby","Variant spelling of English unisex Darby: deer farm","spelling","Variant","deer farm","unisex Darby","male","English"
"923","Derick","Variant spelling of English Derek: first of the people; king of nations","spelling","Variant","first of the people; king of nations","Derek","male","English"
"924","Dermot","Anglicized form of Irish Gaelic Diarmaid: without envy","form","Anglicized","without envy","Gaelic Diarmaid","male","Irish"
"925","Derren","Variant spelling of English Daren: from Araines","spelling","Variant","from Araines","Daren","male","English"
"926","Derrick","Variant spelling of English Derek: first of the people; king of nations","spelling","Variant","first of the people; king of nations","Derek","male","English"
"927","Derryl","Variant spelling of English unisex Darryl: from Airelle","spelling","Variant","from Airelle","unisex Darryl","female","English"
"928","Derryl","Variant spelling of English unisex Darryl: from Airelle","spelling","Variant","from Airelle","unisex Darryl","male","English"
"929","Dervila","Variant spelling of English Dervla: true poet","spelling","Variant","true poet","Dervla","female","English"
"930","Dervla","Anglicized form of Irish Gaelic Dearbhla: true poet","form","Anglicized","true poet","Gaelic Dearbhla","female","Irish"
"931","Deryck","Variant spelling of English Derek: first of the people; king of nations","spelling","Variant","first of the people; king of nations","Derek","male","English"
"932","Deshaun","Variant spelling of English Deshawn: God is gracious","spelling","Variant","God is gracious","Deshawn","male","English"
"933","Deshawn","Elaborated form of English Shawn: God is gracious","form","Elaborated","God is gracious","Shawn","male","English"
"934","Desmond","Anglicized form of Irish Gaelic Deas-Mhumhan: man from south Munster","form","Anglicized","man from south Munster","Gaelic Deas-Mhumhan","male","Irish"
"935","Despina","English variant spelling of Latin Despoena: mistress","variant spelling","English","mistress","Despoena","female","Latin"
"936","Destinee","Variant spelling of English Destiny: fate, fortune","spelling","Variant","fate, fortune","Destiny","female","English"
"937","Devan","Variant spelling of English unisex Devon: worshiper of the god Dumnonos","spelling","Variant","worshiper of the god Dumnonos","unisex Devon","female","English"
"938","Devan","Variant spelling of English unisex Devon: worshiper of the god Dumnonos","spelling","Variant","worshiper of the god Dumnonos","unisex Devon","male","English"
"939","Deven","Variant spelling of English unisex Devon: worshiper of the god Dumnonos","spelling","Variant","worshiper of the god Dumnonos","unisex Devon","female","English"
"940","Deven","Variant spelling of English unisex Devon: worshiper of the god Dumnonos","spelling","Variant","worshiper of the god Dumnonos","unisex Devon","male","English"
"941","Devil","English form of Greek Diabolos: accuser, slanderer","form","English","accuser, slanderer","Diabolos","male","Greek"
"942","Devnet","Anglicized form of Irish Gaelic Damhnait: little fawn","form","Anglicized","little fawn","Gaelic Damhnait","female","Irish"
"943","Dewayne","Elaborated form of English Dwayne: little black one","form","Elaborated","little black one","Dwayne","male","English"
"944","Dewey","English form of Welsh Dewi: beloved","form","English","beloved","Dewi","male","Welsh"
"945","Deye","Variant spelling of English Daye: day","spelling","Variant","day","Daye","male","English"
"946","Dezi","English variant spelling of Italian/Spanish Desi: longing","variant spelling","English","longing","Desi","male","Italian/Spanish"
"947","Di","English short form of Latin Diana and French Diane: divine, heavenly","short form","English","divine, heavenly","Diana and French Diane","female","Latin"
"948","Diamanda","Feminine variant spelling of English unisex Diamond: diamond","variant spelling","Feminine","diamond","unisex Diamond","female","English"
"949","Diane","French form of Latin Diana: divine, heavenly","form","French","divine, heavenly","Diana","female","Latin"
"950","Diann","English variant spelling of French Diane: divine, heavenly","variant spelling","English","divine, heavenly","Diane","female","French"
"951","Dianna","Variant spelling of Latin Diana: divine, heavenly","spelling","Variant","divine, heavenly","Diana","female","Latin"
"952","Dianne","Variant spelling of French Diane: divine, heavenly","spelling","Variant","divine, heavenly","Diane","female","French"
"953","Dibri","Anglicized form of Hebrew Dibriy: my word","form","Anglicized","my word","Dibriy","male","Hebrew"
"954","Dick","Short form of English Richard: powerful ruler","form","Short","powerful ruler","Richard","male","English"
"955","Dickie","Pet form of English Richard: powerful ruler","form","Pet","powerful ruler","Richard","male","English"
"956","Dicky","Pet form of English Richard: powerful ruler","form","Pet","powerful ruler","Richard","male","English"
"957","Didi","English short form of Latin Diana: divine, heavenly","short form","English","divine, heavenly","Diana","female","Latin"
"958","Dikla","Variant spelling of English Diklah: palm grove","spelling","Variant","palm grove","Diklah","male","English"
"959","Diklah","Anglicized form of Hebrew Diqlah: palm grove","form","Anglicized","palm grove","Diqlah","male","Hebrew"
"960","Dilbert","Variant spelling of English Delbert: bright nobility","spelling","Variant","bright nobility","Delbert","male","English"
"961","Dillon","English form of Welsh Dylan: great sea","form","English","great sea","Dylan","male","Welsh"
"962","Dina","Variant spelling of English Dinah: judgment","spelling","Variant","judgment","Dinah","female","English"
"963","Dinah","Anglicized form of Hebrew Diynah: judgment","form","Anglicized","judgment","Diynah","female","Hebrew"
"964","Dinis","Anglicized form of Irish Gaelic Donnchadh: brown warrior","form","Anglicized","brown warrior","Gaelic Donnchadh","male","Irish"
"965","Diot","English pet form of Greek Dionysia: follower of Dionysos","pet form","English","follower of Dionysos","Dionysia","female","Greek"
"966","Dishan","Anglicized form of Hebrew Diyshan: a species of gazelle","form","Anglicized","a species of gazelle","Diyshan","male","Hebrew"
"967","Dismas","Anglicized form of Greek Dysmas: sunset","form","Anglicized","sunset","Dysmas","male","Greek"
"968","Dix","Short form of English Dixie: tenth","form","Short","tenth","Dixie","female","English"
"969","Dixee","Variant spelling of English Dixie: tenth","spelling","Variant","tenth","Dixie","female","English"
"970","Dixy","Variant spelling of English Dixie: tenth","spelling","Variant","tenth","Dixie","female","English"
"971","Dlila","Variant spelling of English Delila: delicate, weak","spelling","Variant","delicate, weak","Delila","female","English"
"972","Dodi","Pet form of English Dorothy: gift of God","form","Pet","gift of God","Dorothy","female","English"
"973","Dodie","Pet form of English Dorothy: gift of God","form","Pet","gift of God","Dorothy","female","English"
"974","Dolanna","Variant form of English Donalda: world ruler","form","Variant","world ruler","Donalda","female","English"
"975","Dolena","Variant form of English Donalda: world ruler","form","Variant","world ruler","Donalda","female","English"
"976","Dolina","Variant form of English Donalda: world ruler","form","Variant","world ruler","Donalda","female","English"
"977","Dollee","Variant spelling of English Dolly: gift of God","spelling","Variant","gift of God","Dolly","female","English"
"978","Dolley","Variant spelling of English Dolly: gift of God","spelling","Variant","gift of God","Dolly","female","English"
"979","Dollie","Variant spelling of English Dolly: gift of God","spelling","Variant","gift of God","Dolly","female","English"
"980","Dolly","Pet form of English Dorothy: gift of God","form","Pet","gift of God","Dorothy","female","English"
"981","Dolph","Short form of English Adolph: noble wolf","form","Short","noble wolf","Adolph","male","English"
"982","Dom","Short form of English Dominic: belongs to the lord","form","Short","belongs to the lord","Dominic","male","English"
"983","Domenic","Variant spelling of English Dominic: belongs to the lord","spelling","Variant","belongs to the lord","Dominic","male","English"
"984","Dominica","Feminine form of Latin Dominicus: belongs to the lord","form","Feminine","belongs to the lord","Dominicus","female","Latin"
"985","Dominique","French unisex form of Latin Dominicus: belongs to the lord","unisex form","French","belongs to the lord","Dominicus","female","Latin"
"986","Don","Short form of English Donald: world ruler","form","Short","world ruler","Donald","male","English"
"987","Donaghy","Anglicized form of Irish Gaelic Donnchadh: brown warrior","form","Anglicized","brown warrior","Gaelic Donnchadh","male","Irish"
"988","Donald","Anglicized form of Scottish Gaelic Domhnall: world ruler","form","Anglicized","world ruler","Gaelic Domhnall","male","Scottish"
"989","Donalda","Feminine form of English Donald: world ruler","form","Feminine","world ruler","Donald","female","English"
"990","Donaldina","Elaborated form of English Donalda: world ruler","form","Elaborated","world ruler","Donalda","female","English"
"991","Donall","Variant spelling of English Donal: world ruler","spelling","Variant","world ruler","Donal","male","English"
"992","Donella","Variant form of English Donalda: world ruler","form","Variant","world ruler","Donalda","female","English"
"993","Donelle","Feminine form of Irish Anglicized Donal: world ruler","form","Feminine","world ruler","Anglicized Donal","female","Irish"
"994","Donnie","Variant spelling of English Donny: world ruler","spelling","Variant","world ruler","Donny","male","English"
"995","Donny","Pet form of English Donald: world ruler","form","Pet","world ruler","Donald","male","English"
"996","Donogh","Anglicized form of Irish Gaelic Donnchadh: brown warrior","form","Anglicized","brown warrior","Gaelic Donnchadh","male","Irish"
"997","Donough","Variant spelling of English Donogh: brown warrior","spelling","Variant","brown warrior","Donogh","male","English"
"998","Dora","Pet form of English Dorothy: gift of God","form","Pet","gift of God","Dorothy","female","English"
"999","Dore","Short form of English Isidore: gift of Isis","form","Short","gift of Isis","Isidore","male","English"
"1000","Dorean","Variant spelling of English Doreen: gift","spelling","Variant","gift","Doreen","female","English"
"1001","Doreen","Anglicized form of Gaelic Doireann: sullen","form","Anglicized","sullen","Doireann","female","Gaelic"
"1002","Doretta","Diminutive form of English Dora: little gift","form","Diminutive","little gift","Dora","female","English"
"1003","Doriane","French feminine form of English Dorian: of the Dorian tribe","feminine form","French","of the Dorian tribe","Dorian","female","English"
"1004","Dorine","Variant spelling of English Doreen: gift","spelling","Variant","gift","Doreen","female","English"
"1005","Dorothea","Feminine form of Greek Dorotheos: gift of God","form","Feminine","gift of God","Dorotheos","female","Greek"
"1006","Dorothy","English form of Latin Dorothea: gift of God","form","English","gift of God","Dorothea","female","Latin"
"1007","Dorris","Variant spelling of Greek Doris: bounty","spelling","Variant","bounty","Doris","female","Greek"
"1008","Dorthy","Variant spelling of English Dorothy: gift of God","spelling","Variant","gift of God","Dorothy","female","English"
"1009","Dory","Pet form of English Dora: gift","form","Pet","gift","Dora","female","English"
"1010","Dot","Pet form of English Dorothy: gift of God","form","Pet","gift of God","Dorothy","female","English"
"1011","Dottie","Pet form of English Dorothy: gift of God","form","Pet","gift of God","Dorothy","female","English"
"1012","Dotty","Variant spelling of English Dottie: gift of God","spelling","Variant","gift of God","Dottie","female","English"
"1013","Doug","Short form of English Douglas: black stream","form","Short","black stream","Douglas","male","English"
"1014","Dougal","Anglicized form of Irish Gaelic Dubhghall: black stranger","form","Anglicized","black stranger","Gaelic Dubhghall","male","Irish"
"1015","Dougie","Pet form of English Douglas: black stream","form","Pet","black stream","Douglas","male","English"
"1016","Doyle","Anglicized form of Irish Gaelic Dubhghall: black stranger","form","Anglicized","black stranger","Gaelic Dubhghall","male","Irish"
"1017","Dreda","Short form of Middle English Eldreda: old advisor","form","Short","old advisor","English Eldreda","female","Middle"
"1018","Drew","Short form of English Andrew: man; warrior","form","Short","man; warrior","Andrew","male","English"
"1019","Driskoll","Variant spelling of English Driscoll: go-between, intermediary, messenger, news bearer","spelling","Variant","go-between, intermediary, messenger, news bearer","Driscoll","male","English"
"1020","Drusilla","Feminine diminutive form of Roman Latin Drusus: oak; strong","diminutive form","Feminine","oak; strong","Latin Drusus","female","Roman"
"1021","Duana","Feminine form of English Duane: little black one","form","Feminine","little black one","Duane","female","English"
"1022","Dud","Short form of English Dudley: Dudda's meadow","form","Short","Dudda's meadow","Dudley","male","English"
"1023","Dudda","Variant spelling of Old English Dudde: cloak, mantle","spelling","Variant","cloak, mantle","English Dudde","male","Old"
"1024","Duff","Short form of English Duffy: black peace","form","Short","black peace","Duffy","male","English"
"1025","Dugal","Variant spelling of English Dougal: black stranger","spelling","Variant","black stranger","Dougal","male","English"
"1026","Dulcie","English form of Latin Dulcia: sweet","form","English","sweet","Dulcia","female","Latin"
"1027","Duncan","Anglicized form of Scottish Gaelic Donnchadh: brown warrior","form","Anglicized","brown warrior","Gaelic Donnchadh","male","Scottish"
"1028","Dunky","Pet form of English Duncan: brown warrior","form","Pet","brown warrior","Duncan","male","English"
"1029","Dusty","Pet form of English Dustin, probably: Thor's stone","form","Pet","Thor's stone","Dustin, probably","male","English"
"1030","Dwane","Variant spelling of English Dwayne: little black one","spelling","Variant","little black one","Dwayne","male","English"
"1031","Dwayne","Variant spelling of English Duane: little black one","spelling","Variant","little black one","Duane","male","English"
"1032","Dyan","English variant spelling of French Dianne: divine, heavenly","variant spelling","English","divine, heavenly","Dianne","female","French"
"1033","Dye","Pet form of English Dennis: follower of Dionysos","form","Pet","follower of Dionysos","Dennis","male","English"
"1034","Dyl","Short form of Welsh Dylan: great sea","form","Short","great sea","Dylan","male","Welsh"
"1035","Dymphna","Anglicized form of Irish Gaelic Damhnait: little fawn","form","Anglicized","little fawn","Gaelic Damhnait","female","Irish"
"1036","Dympna","Variant spelling of English Dymphna: little fawn","spelling","Variant","little fawn","Dymphna","female","English"
"1037","Earle","Variant spelling of English Earl: nobleman, prince, warrior","spelling","Variant","nobleman, prince, warrior","Earl","male","English"
"1038","Earleen","Variant spelling of English Earline: nobleman, prince, warrior","spelling","Variant","nobleman, prince, warrior","Earline","female","English"
"1039","Earlene","Variant spelling of English Earline: nobleman, prince, warrior","spelling","Variant","nobleman, prince, warrior","Earline","female","English"
"1040","Earline","Feminine form of English Earl: nobleman, prince, warrior","form","Feminine","nobleman, prince, warrior","Earl","female","English"
"1041","Earnest","Variant spelling of English Ernest: battle (to the death), serious business","spelling","Variant","battle (to the death), serious business","Ernest","male","English"
"1042","Earnestine","Feminine form of English Earnest: battle (to the death), serious business","form","Feminine","battle (to the death), serious business","Earnest","female","English"
"1043","Eavan","Anglicized form of Irish Gaelic Aoibheann: beautiful, fair form","form","Anglicized","beautiful, fair form","Gaelic Aoibheann","female","Irish"
"1044","Ebbie","Pet form of English Ebenezer: stone of help","form","Pet","stone of help","Ebenezer","male","English"
"1045","Ebby","Variant spelling of English Ebbie: stone of help","spelling","Variant","stone of help","Ebbie","male","English"
"1046","Ebenezer","Anglicized form of Hebrew Eben-haezer: foundation stone, stone of help","form","Anglicized","foundation stone, stone of help","Eben-haezer","male","Hebrew"
"1047","Echo","Latin form of Greek Ekho: echo, re-sound","form","Latin","echo, re-sound","Ekho","female","Greek"
"1048","Ed","Short form of English Edward: guardian of prosperity","form","Short","guardian of prosperity","Edward","male","English"
"1049","Edan","Variant spelling of English Aidan: little fire","spelling","Variant","little fire","Aidan","male","English"
"1050","Edana","Feminine form of English Edan: little fire","form","Feminine","little fire","Edan","female","English"
"1051","Edda","Variant spelling of English Eda: rich battle","spelling","Variant","rich battle","Eda","female","English"
"1052","Eddie","Pet form of English Edward: guardian of prosperity","form","Pet","guardian of prosperity","Edward","male","English"
"1053","Eddy","Variant spelling of English Eddie: guardian of prosperity","spelling","Variant","guardian of prosperity","Eddie","male","English"
"1054","Edie","Pet form of English Edith: rich battle","form","Pet","rich battle","Edith","female","English"
"1055","Edina","Contracted form of English Edwina: rich friend","form","Contracted","rich friend","Edwina","female","English"
"1056","Edithe","Variant spelling of English Edith: rich battle","spelling","Variant","rich battle","Edith","female","English"
"1057","Edna","Anglicized form of Irish Gaelic Eithne: kernel","form","Anglicized","kernel","Gaelic Eithne","female","Irish"
"1058","Ednah","Variant spelling of Hebrew Edna: delight, pleasure, rejuvenation","spelling","Variant","delight, pleasure, rejuvenation","Edna","female","Hebrew"
"1059","Edweena","Variant spelling of English Edwina: rich friend","spelling","Variant","rich friend","Edwina","female","English"
"1060","Edwena","Variant spelling of English Edwina: rich friend","spelling","Variant","rich friend","Edwina","female","English"
"1061","Edwina","Feminine form of English Edwin: rich friend","form","Feminine","rich friend","Edwin","female","English"
"1062","Edwyn","Variant spelling of Middle English Edwin: rich friend","spelling","Variant","rich friend","English Edwin","male","Middle"
"1063","Edwyna","Variant spelling of English Edwina: rich friend","spelling","Variant","rich friend","Edwina","female","English"
"1064","Edyta","Polish form of English Edith: rich battle","form","Polish","rich battle","Edith","female","English"
"1065","Edyth","Variant spelling of English Edith: rich battle","spelling","Variant","rich battle","Edith","female","English"
"1066","Edytha","Elaborated form of English Edyth: rich battle","form","Elaborated","rich battle","Edyth","female","English"
"1067","Edythe","Elaborated form of English Edyth: rich battle","form","Elaborated","rich battle","Edyth","female","English"
"1068","Effi","Variant spelling of English Effie: Well I speak","spelling","Variant","Well I speak","Effie","female","English"
"1069","Effie","English pet form of Latin Euphemia: Well I speak","pet form","English","Well I speak","Euphemia","female","Latin"
"1070","Ehud","Anglicized form of Hebrew Echuwd: joining together, united","form","Anglicized","joining together, united","Echuwd","male","Hebrew"
"1071","Elada","Anglicized form of Hebrew El'adah: whom God puts on","form","Anglicized","whom God puts on","El'adah","male","Hebrew"
"1072","Eladah","Anglicized form of Hebrew El'adah: whom God puts on","form","Anglicized","whom God puts on","El'adah","male","Hebrew"
"1073","Elam","Anglicized form of Hebrew Eylam: boundless time, eternity","form","Anglicized","boundless time, eternity","Eylam","male","Hebrew"
"1074","Elayne","English variant spelling of French Elaine: torch","variant spelling","English","torch","Elaine","female","French"
"1075","Elbert","English variant spelling of French Albert: bright nobility","variant spelling","English","bright nobility","Albert","male","French"
"1076","Elbie","Pet form of English Elbert: bright nobility","form","Pet","bright nobility","Elbert","male","English"
"1077","Elden","Variant spelling of Middle English Alden: old friend","spelling","Variant","old friend","English Alden","male","Middle"
"1078","Eldin","Variant spelling of Middle English Aldin: old friend","spelling","Variant","old friend","English Aldin","male","Middle"
"1079","Eldis","Variant spelling of Old English Aldous, probably: from the old house","spelling","Variant","from the old house","English Aldous, probably","male","Old"
"1080","Eldous","Variant spelling of Old English Aldous, probably: from the old house","spelling","Variant","from the old house","English Aldous, probably","male","Old"
"1081","Eldreda","Feminine form of Middle English Eldred: old advisor","form","Feminine","old advisor","English Eldred","female","Middle"
"1082","Eldridge","Variant spelling of English Aldridge: noble ruler","spelling","Variant","noble ruler","Aldridge","male","English"
"1083","Eldwen","Variant spelling of Middle English Eldwin: old friend","spelling","Variant","old friend","English Eldwin","male","Middle"
"1084","Eldwin","Variant spelling of Middle English Aldwin: old friend","spelling","Variant","old friend","English Aldwin","male","Middle"
"1085","Elea","Short form of English Eleanor: foreign; the other","form","Short","foreign; the other","Eleanor","female","English"
"1086","Eleazar","Anglicized form of Hebrew Elazar: God has helped","form","Anglicized","God has helped","Elazar","male","Hebrew"
"1087","Elenora","Variant spelling of English Eleanor: foreign; the other","spelling","Variant","foreign; the other","Eleanor","female","English"
"1088","Eleonor","Variant spelling of English Eleanor: foreign; the other","spelling","Variant","foreign; the other","Eleanor","female","English"
"1089","Elfa","Variant spelling of Middle English Elva: elf friend","spelling","Variant","elf friend","English Elva","female","Middle"
"1090","Elfrida","Variant spelling of Middle English Elfreda: elfin strength","spelling","Variant","elfin strength","English Elfreda","female","Middle"
"1091","Elfrieda","Variant spelling of Middle English Elfreda: elfin strength","spelling","Variant","elfin strength","English Elfreda","female","Middle"
"1092","Elgar","Variant spelling of Middle English Algar: elf spear","spelling","Variant","elf spear","English Algar","male","Middle"
"1093","Elger","Variant spelling of English Algar: elf spear","spelling","Variant","elf spear","Algar","male","English"
"1094","Elhanan","Anglicized form of Hebrew Elchanan: God is gracious","form","Anglicized","God is gracious","Elchanan","male","Hebrew"
"1095","Eli","Anglicized form of Hebrew Eliy: ascending","form","Anglicized","ascending","Eliy","male","Hebrew"
"1096","Eliab","Anglicized form of Hebrew Eliyab: my God is Father","form","Anglicized","my God is Father","Eliyab","male","Hebrew"
"1097","Eliah","Anglicized form of Hebrew Eliyah: the Lord is my God","form","Anglicized","the Lord is my God","Eliyah","male","Hebrew"
"1098","Eliasaph","Anglicized form of Hebrew Elyacaph: God increases the family","form","Anglicized","God increases the family","Elyacaph","male","Hebrew"
"1099","Elifaz","Anglicized form of Hebrew Eliyphaz: my God is pure gold","form","Anglicized","my God is pure gold","Eliyphaz","male","Hebrew"
"1100","Elifelet","Anglicized form of Hebrew Eliyphelet: my God is deliverance","form","Anglicized","my God is deliverance","Eliyphelet","male","Hebrew"
"1101","Elihoenai","Anglicized form of Hebrew Elyehoweynay: unto God are my eyes","form","Anglicized","unto God are my eyes","Elyehoweynay","male","Hebrew"
"1102","Elihu","Anglicized form of Hebrew Eliyhuw: He is my God","form","Anglicized","He is my God","Eliyhuw","male","Hebrew"
"1103","Elijah","Anglicized form of Greek Elias (Hebrew Eliyah): the Lord is my God","form","Anglicized","the Lord is my God","Elias (Hebrew Eliyah)","male","Greek"
"1104","Elimelech","Anglicized form of Hebrew Eliymelek: my God is King","form","Anglicized","my God is King","Eliymelek","male","Hebrew"
"1105","Elinor","Variant spelling of English Eleanor: foreign; the other","spelling","Variant","foreign; the other","Eleanor","female","English"
"1106","Elioenai","Anglicized form of Hebrew Elyehoweynay: unto God are my eyes","form","Anglicized","unto God are my eyes","Elyehoweynay","male","Hebrew"
"1107","Eliot","Variant spelling of English Elliot: the Lord is my God","spelling","Variant","the Lord is my God","Elliot","male","English"
"1108","Eliott","Variant spelling of English Elliot: the Lord is my God","spelling","Variant","the Lord is my God","Elliot","male","English"
"1109","Eliphalet","Anglicized form of Hebrew Eliyphelet: my God is deliverance","form","Anglicized","my God is deliverance","Eliyphelet","male","Hebrew"
"1110","Eliphaz","Anglicized form of Hebrew Eliyphaz: my God is pure gold","form","Anglicized","my God is pure gold","Eliyphaz","male","Hebrew"
"1111","Eliphelet","Anglicized form of Hebrew Eliyphelet: my God is deliverance","form","Anglicized","my God is deliverance","Eliyphelet","male","Hebrew"
"1112","Elisabeth","Anglicized form of Greek Elisabet (Hebrew Eliysheba): God is my oath","form","Anglicized","God is my oath","Elisabet (Hebrew Eliysheba)","female","Greek"
"1113","Elisha","Anglicized form of Hebrew Eliysha: God is salvation","form","Anglicized","God is salvation","Eliysha","male","Hebrew"
"1114","Elishua","Anglicized form of Hebrew Eliyshuwa: my God is savior","form","Anglicized","my God is savior","Eliyshuwa","male","Hebrew"
"1115","Eliud","Anglicized form of Greek Elioud: God his glory","form","Anglicized","God his glory","Elioud","male","Greek"
"1116","Eliza","Short form of English Elizabeth: God is my oath","form","Short","God is my oath","Elizabeth","female","English"
"1117","Elizabeth","Anglicized form of Greek Elisabet: God is my oath","form","Anglicized","God is my oath","Elisabet","female","Greek"
"1118","Ella","Pet form of English Eleanor: foreign; the other","form","Pet","foreign; the other","Eleanor","female","English"
"1119","Ellenor","Variant spelling of English Eleanor: foreign; the other","spelling","Variant","foreign; the other","Eleanor","female","English"
"1120","Ellery","Variant spelling of English unisex Hillary: joyful; happy","spelling","Variant","joyful; happy","unisex Hillary","female","English"
"1121","Ellgar","Variant spelling of Middle English Elgar: elf spear","spelling","Variant","elf spear","English Elgar","male","Middle"
"1122","Ellger","Variant spelling of Middle English Elger: elf spear","spelling","Variant","elf spear","English Elger","male","Middle"
"1123","Ellie","Pet form of English Eleanor: foreign; the other","form","Pet","foreign; the other","Eleanor","female","English"
"1124","Elliott","Variant spelling of English Elliot: the Lord is my God","spelling","Variant","the Lord is my God","Elliot","male","English"
"1125","Ellis","Anglicized form of Welsh Elisud: kind","form","Anglicized","kind","Elisud","male","Welsh"
"1126","Elly","Variant spelling of English Ellie: foreign; the other","spelling","Variant","foreign; the other","Ellie","female","English"
"1127","Elmira","Contracted form of Spanish Edelmira: nobly famous","form","Contracted","nobly famous","Edelmira","female","Spanish"
"1128","Elouise","Variant spelling of English Eloise: hale-wide; very healthy and sound","spelling","Variant","hale-wide; very healthy and sound","Eloise","female","English"
"1129","Elpalet","Anglicized form of Hebrew Eliyphelet: my God is deliverance","form","Anglicized","my God is deliverance","Eliyphelet","male","Hebrew"
"1130","Elva","Pet form of Middle English Elvina: elf friend","form","Pet","elf friend","English Elvina","female","Middle"
"1131","Elvin","Variant spelling of Middle English Elwin: elf friend","spelling","Variant","elf friend","English Elwin","male","Middle"
"1132","Elvina","Feminine form of Middle English Elvin: elf friend","form","Feminine","elf friend","English Elvin","female","Middle"
"1133","Elweard","Variant spelling of Middle English Aylward: elf guard","spelling","Variant","elf guard","English Aylward","male","Middle"
"1134","Elwin","Variant spelling of Middle English Alwin: elf friend","spelling","Variant","elf friend","English Alwin","male","Middle"
"1135","Elwyn","Variant spelling of Middle English Elwin: elf friend","spelling","Variant","elf friend","English Elwin","male","Middle"
"1136","Elyakim","Anglicized form of Hebrew Elyaqiym or Greek Eliakim: God will establish","form","Anglicized","God will establish","Elyaqiym or Greek Eliakim","male","Hebrew"
"1137","Elyakum","Anglicized form of Hebrew Elyaqiym or Greek Eliakim: God will establish","form","Anglicized","God will establish","Elyaqiym or Greek Eliakim","male","Hebrew"
"1138","Elyasaf","Anglicized form of Hebrew Elyacaph: God increases the family","form","Anglicized","God increases the family","Elyacaph","male","Hebrew"
"1139","Elyse","English variant spelling of German Elise: God is my oath","variant spelling","English","God is my oath","Elise","female","German"
"1140","Elyzabeth","Variant spelling of English Elizabeth: God is my oath","spelling","Variant","God is my oath","Elizabeth","female","English"
"1141","Emelia","Variant spelling of English Amelia: work","spelling","Variant","work","Amelia","female","English"
"1142","Emely","Variant spelling of English Emily: rival","spelling","Variant","rival","Emily","female","English"
"1143","Emilee","Variant spelling of English Emily: rival","spelling","Variant","rival","Emily","female","English"
"1144","Emiline","English variant spelling of German Emeline: work","variant spelling","English","work","Emeline","female","German"
"1145","Emmanuel","Latin form of Greek Emmanouel: God is with us","form","Latin","God is with us","Emmanouel","male","Greek"
"1146","Emmerson","Variant spelling of English Emerson: son of Emery","spelling","Variant","son of Emery","Emerson","male","English"
"1147","Emmett","Variant spelling of English Emmet: entire, whole","spelling","Variant","entire, whole","Emmet","male","English"
"1148","Emmie","Pet form of Norman French Emma: entire, whole","form","Pet","entire, whole","French Emma","female","Norman"
"1149","Emmy","Variant spelling of Norman French Emmie: entire, whole","spelling","Variant","entire, whole","French Emmie","female","Norman"
"1150","Emory","Variant spelling of English Emery: work-power","spelling","Variant","work-power","Emery","male","English"
"1151","Emylynn","English variant spelling of German Emmeline: work","variant spelling","English","work","Emmeline","female","German"
"1152","Ena","Anglicized form of Irish Gaelic Eithne: kernel","form","Anglicized","kernel","Gaelic Eithne","female","Irish"
"1153","Enoch","Anglicized form of Greek Henoch (Hebrew Chanowk): dedicated","form","Anglicized","dedicated","Henoch (Hebrew Chanowk)","male","Greek"
"1154","Enos","Variant spelling of English Enosh: man; human being","spelling","Variant","man; human being","Enosh","male","English"
"1155","Enosh","Anglicized form of Hebrew Enowsh: man; human being","form","Anglicized","man; human being","Enowsh","male","Hebrew"
"1156","Enya","Anglicized form of Irish Gaelic Eithne: kernel","form","Anglicized","kernel","Gaelic Eithne","female","Irish"
"1157","Ephah","Anglicized form of Hebrew unisex Eyphah: darkness","form","Anglicized","darkness","unisex Eyphah","female","Hebrew"
"1158","Ephah","Anglicized form of Hebrew unisex Eyphah: darkness","form","Anglicized","darkness","unisex Eyphah","male","Hebrew"
"1159","Eppie","English pet form of Latin Euphemia: Well I speak","pet form","English","Well I speak","Euphemia","female","Latin"
"1160","Erek","Variant spelling of English Eric: ever-ruler","spelling","Variant","ever-ruler","Eric","male","English"
"1161","Eric","English form of German Erich: ever-ruler","form","English","ever-ruler","Erich","male","German"
"1162","Erica","Feminine form of English Eric: ever-ruler","form","Feminine","ever-ruler","Eric","female","English"
"1163","Erick","Variant spelling of English Eric: ever-ruler","spelling","Variant","ever-ruler","Eric","male","English"
"1164","Ericka","Variant spelling of English Erica: ever-ruler","spelling","Variant","ever-ruler","Erica","female","English"
"1165","Erik","Variant spelling of English Eric: ever-ruler","spelling","Variant","ever-ruler","Eric","male","English"
"1166","Erle","Variant spelling of English Earl: nobleman, prince, warrior","spelling","Variant","nobleman, prince, warrior","Earl","male","English"
