1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: English name derived from the name of the liquor, popular in America in the 1970s and '80s. | female. BRANDY
1: English name derived from the name of the month which was named after Julius Cæsar, hence "descended from Jupiter (Jove)." | female. JULY
1: English name derived from the Old French word basset, a byname for a short person, derived from a diminutive form of the word basse ("low, short"), hence, "shorty." | male. BASSETT
1: English name derived from the old Norman French byname algernon, from aux gernons, for someone "moustached." | male. ALGERNON
1: English name derived from the place name Lorne, Scotland, of unknown meaning. The name was a part of a courtesy title for the Scottish Duke of Argyll's eldest son and heir, the Marquess of Lorne, who also derived it from the place name. | male. LORNE
1: English name derived from the plant name, "ivy." | female. IVY
1: English name derived from the Scottish word bonnie "pretty." | female. BONNIE
1: English name derived from the season name, "spring," (Mar. 21 thru Jun. 21), derived from the verb spring, "to burst forth," from Proto-Indo-European *sprengh-, meaning "rapid movement." | female. SPRING
1: English name derived from the Spanish word for "earth." | female. TIERRA
1: English name derived from the spice name coriander (also commonly called Cilantro), from Latin coriandrum, from Greek corys ("bedbug") with the added element -ander "resembling" (referring to the smell of the spice which is similar to the odor of bedbugs), hence "smells like a bedbug." | female. CORIANDER
1: English name derived from the tree name, "olive," from Latin oliva, from Greek elaia, the name of a Mediterranean fruit-bearing evergreen tree. The name was popular in the 19th century because the olive branch has been a symbol of "peace" since biblical times. | female. OLIVE
1: English name derived from the tree name, "willow." | female. WILLOW
1: English name derived from the vocabulary word colt, from Old English colt, which originally meant "young ass" or "young camel." | male. COLT
1: English name derived from the vocabulary word ebony, derived from Latin ebenus, from Greek ebenos "ebony tree," from ancient Egyptian hbny, from Hebrew eben "stone," so called because of its hard wood. | female. EBONY
1: English name derived from the vocabulary word "faith." It is one of the Puritan virtue names; some others are Charity, Chastity, Honor, Hope, and Prudence. | female. FAITH
1: English name derived from the vocabulary word for a material that comes from the tusks of elephants and is used in making jewelry. | female. IVORY
1: English name derived from the vocabulary word, from Latin destinare, "to establish, make firm," hence "fate, fortune." | female. DESTINY
1: English name derived from the vocabulary word "grace," from Old French grace "pleasing quality, favor, good will, thanks," which in turn came from Latin gratia "pleasing quality, good will, gratitude," from gratus "pleasing, agreeable." In 1175 the word grace was defined as "God's favor or help." | female. GRACE
1: English name derived from the vocabulary word "honey." Also a term of endearment. | female. HONEY
1: English name derived from the vocabulary word "hope." It is one of the Puritan virtue names; some others are Charity, Chastity, Faith, Honor, and Prudence. | female. HOPE
1: English name derived from the vocabulary word, "joy." | female. JOY
1: English name derived from the vocabulary word, "meadow." | female. MEADOW
1: English name derived from the vocabulary word, "star." | female. STAR
1: English name derived from the vocabulary word, Sunday, from Old English Sunnandæg, literally meaning "day of the sun." | female. SUNDAY
1: English name derived from the vocabulary word, "sunshine." | female. SUNSHINE
1: English name derived from the vocabulary word "topsail," a sail set above another sail. | female. TOPSY
1: English name derived from the vocabulary word, "treasure." | female. TREASURE
1: English name derived from the week day name, composed of the Old English elements mona "moon" and dæg "day," hence "moon day." | female. MONDAY
1: English name derived from the word aureole, a diminutive form of Latin aura ("air, breeze, wind"), hence "little breeze" or "little wind." | female. AUREOLE
1: English name invented by the 17th century poet Fulke Greville, which may have been based on the Greek word myrrha, "myrrh," a fragrant, bitter sap derived from the Commiphora tree and used in healing salves, perfumes and incenses. In ancient times, myrrh was worth more than its weight in gold, priced at 5 times that of frankincense, and it was one of the gifts of the Magi to the baby Jesus. | female. MYRA
1: English name meaning "friendship." | female. AMITY
1: English name meaning "nourishing" in Latin and "soul" in Spanish. Compare with other forms of Alma. | female. ALMA
1: English name meaning "purity." It is one of the virtue names that were popular with the Puritans; some others are Charity, Faith, Honor, Hope, and Prudence. | female. CHASTITY
1: English name meaning "three." | male. TREY
1: English name of Germanic origin, probably composed of the elements tal "destroy" and bod "message, tidings," hence "messenger of destruction." | male. TOLBERT
1: English name of the B-29 bomber that dropped the atomic bomb, "Little Boy," on Hiroshima on August 6, 1945. The pilot, Colonel Paul W. Tibbets, Jr. named the aircraft after his mother, Enola Gay Tibbets, who in turn had been named after the heroine of a novel; it is the reverse spelling of the word "alone."  | female. ENOLA
1: English name, possibly derived from an elaborated form of the word "toy," and used as a term of endearment. Compare with French Bibi. | female. TOYA
1: English name, probably based on the word "twilight." | female. TWYLA
1: English name, probably derived from an old nursery rhyme about "baby bunting." | female. BUNTY
1: English name, probably derived from the plant genus name annona, from Taíno annon, a species of plants which produce nutritious edible pond-apples. | female. ANNONA
1: English name which may mean either "mace (the spice)" or "mace (the weapon)." | male. MACE
1: English occupational surname transferred to forename use, composed of the Old English elements sceara "shears" and mann "man," hence "shears-man." | male. SHERMAN
1: English occupational surname transferred to forename use, derived from French maçon, meaning "mason, stone-worker." | male. MASON
1: English occupational surname transferred to forename use, from a diminutive form of Old French corde, "rope," hence "little roper." The occupation consisted of making strings, cords, ropes, etc. | male. CORDELL
1: English occupational surname transferred to forename use, from Dutch kuper, from kup "tub; container," which in English became coop. A cooper was a maker and/or fixer of vessels such as buckets and barrels. | male. COOPER
1: English occupational surname transferred to forename use, from Middle English parc "park," hence "park-keeper." Note: in the Middle Ages a park was an enclosed area where the park-owner hunted game. | male. PARKER
1: English occupational surname transferred to forename use, from the Middle English word gage ("pledge, surety" against money lent), hence "moneylender." | male. GAGE
1: English occupational surname transferred to forename use, originally denoting both a "book-binder" and a "scribe." | male. BOOKER
1: English occupational surname transferred to unisex forename use, denoting someone who was employed at one of the houses called "temples," maintained by the Knights Templar. | female. TEMPLE
1: English occupational surname transferred to unisex forename use, denoting someone who was employed at one of the houses called "temples," maintained by the Knights Templar. | male. TEMPLE
1: English occupational surname transferred to unisex forename use, derived from the Middle English word tanner, possibly from a Celtic word for "oak," a wood used in tanning, hence "tanner of skins." | female. TANNER
1: English occupational surname transferred to unisex forename use, derived from the Middle English word tanner, possibly from a Celtic word for "oak," a wood used in tanning, hence "tanner of skins." | male. TANNER
1: English patronymic surname transferred to forename use, which may have been based on any of a number of Middle English names, i.e. "son of Ansel" or "son Agnes." | male. ANSON
1: English pet form of Bernard "bold as a bear" and Greek Barnabas "son of exhortation." | male. BARNEY
1: English pet form of Latin Hester "star" and English Harriet "little home-ruler." | female. HETTIE
1: English pet form of names beginning with Mor-. | female. MORA
1: English pet form of names beginning with the letter "K." | female. KIKI
1: English pronunciation of Irish Gaelic Siobhán, meaning "God is gracious." | female. CHEVONNE
1: English religious name derived from the last element of a title of the Virgin Mary, stella maris, "star of the sea," hence "of the sea." Compare with masculine Maris. | female. MARIS
1: English Shakespearean character name of unknown etymology. It eventually became a synonym for a "loan shark, userer." | male. SHYLOCK
1: English Shakespearian name, possibly derived from the Irish Gaelic word ríogan, meaning "queen." | female. REGAN
1: English short form of both Latin Maximilian "the greatest rival" and Scottish Maxwell "the stream of Mack." | male. MAX
1: English short form of Latin Dominic "belongs to the lord" and English Nicholas "victor of the people." | male. NIC
1: English short form of Latin Maria "obstinate, rebellious" and Victoria "conqueror." Compare with another form of Ria. | female. RIA
1: English short form of longer names beginning with Den-. | male. DEN
1: English short form of longer names beginning with Eb-. | male. EB
1: English short form of longer names beginning with the element Em-. | female. EM
1: English short form of longer names beginning with the letter "K." Compare with masculine Kay. | female. KAYCEE
1: English short form of longer names ending with -arlene or -arline. | female. ARLINE
1: English short form of names beginning with the letter "J." May also be given as a bird name. Compare with another form of Jay. | male. JAY
1: English short form of names ending with -freda. | female. FREDA
1: English short form of names ending with -rika. Compare with another form of Rika. | female. RIKA
1: English short form of names ending with -tia. | female. TIA
1: English short form of names ending with -tria. | female. TRIA
1: English surname transferred to forename use, composed of Old English Cena and tun "settlement," hence "Cena's settlement." | male. KENTON
1: English surname transferred to forename use, composed of Old English wilig "willow" and Old Norse býr "settlement," hence "willow settlement." | male. WILLOUGHBY
1: English surname transferred to forename use, composed of the feminine personal name Elli and Old English denu "valley," hence "Elli's valley." | male. ELSDON
1: English surname transferred to forename use, composed of the masculine name Ella and the Old English word dun "hill," hence "Ella's hill." | male. ELDON
1: English surname transferred to forename use, composed of the Middle English elements ley "fallow" and land "land," hence "fallow land." | male. LELAND
1: English surname transferred to forename use, composed of the Middle English elements wild "wild" and bor "boar," hence "wild boar." | male. WILBER
1: English surname transferred to forename use, composed of the Middle English personal name Ella and tun "enclosure, settlement," hence "Ella's settlement." | male. ELTON
1: English surname transferred to forename use, composed of the Old English elements brad "broad" and burna "stream," hence "broad stream." | male. BRADBURN
1: English surname transferred to forename use, composed of the Old English elements burh "fortress, protection" and tun "enclosure, settlement," hence "fortified settlement." | male. BURTON
1: English surname transferred to forename use, composed of the Old English elements camp "enclosure" and denu "valley," hence "enclosed valley." | male. CAMDEN
1: English surname transferred to forename use, composed of the Old English elements clif "cliff, bank, slope" and ford "ford," hence "cliff river crossing." | male. CLIFFORD
1: English surname transferred to forename use, composed of the Old English elements clif "cliff, bank, slope," and land "land," hence "sloped land." | male. CLEVELAND
1: English surname transferred to forename use, composed of the Old English elements clif "cliff, bank, slope" and tun "enclosure, settlement," hence "cliff settlement." | male. CLIFTON
1: English surname transferred to forename use, composed of the Old English elements Dene "Dane" and fær "passage, crossing," hence "Dane crossing." | male. DENVER
1: English surname transferred to forename use, composed of the Old English elements denu "valley" and tun "enclosure, settlement," hence "valley settlement." | male. DENTON
1: English surname transferred to forename use, composed of the Old English elements dic "ditch, dike" and tun "enclosure, settlement," hence "dike settlement." | male. DAYTON
1: English surname transferred to forename use, composed of the Old English elements fenn "fen, marsh" and tun "enclosure, settlement," hence "marsh settlement." | male. FENTON
1: English surname transferred to forename use, composed of the Old English elements gara "triangular" (a derivative of gar "spear") and feld "open country," hence "lives by a triangular field." | male. GARFIELD
1: English surname transferred to forename use, composed of the Old English elements gara "triangular" (a derivative of gar "spear") and land "estate, cultivated land," hence "from the triangular estate." Compare with another form of Garland. | male. GARLAND
1: English surname transferred to forename use, composed of the Old English elements (ge)haeg "enclosure" and wudu "wood," hence "enclosed wood." | male. HAYWOOD
1: English surname transferred to forename use, composed of the Old English elements hadu "strife, war" and win(e) "friend," hence "war-friend." | male. HADWIN
1: English surname transferred to forename use, composed of the Old English elements hæð "heather" and leah "clearing, field," hence "heather field" or "heather meadow." | male. HEDLEY
1: English surname transferred to forename use, composed of the Old English elements hær "rock" and leah "meadow, pasture," hence "rocky meadow." | male. HARLEY
1: English surname transferred to forename use, composed of the Old English elements heafocere "falconer, hawker" and cot "hut," hence "from the falconer's/hawker's hut." | male. HARCOURT
1: English surname transferred to forename use, composed of the Old English elements hol "deep, hollow, sunken" and denu "valley," hence "deep valley." | male. HOLDEN
1: English surname transferred to forename use, composed of the Old English elements hunta "hunter" and leah "clearing, wood," hence "hunter's wood." | male. HUNTLEY
1: English surname transferred to forename use, composed of the Old English elements mylla "mill" and burne "stream," hence "mill stream." | male. MELBOURNE
1: English surname transferred to forename use, composed of the Old English elements ora "ore" and hyll "hill," hence "ore hill." | male. ORRELL
1: English surname transferred to forename use, composed of the Old English elements treowe "true, trustworthy" and mann "man," hence "true man." | male. TRUMAN
1: English surname transferred to forename use, composed of the Old English elements up "upper" and tun "enclosure, settlement," hence "upper settlement." | male. UPTON
1: English surname transferred to forename use, composed of the Old English elements þorn "thorn bush" and leah "clearing, wood," hence "thorn clearing." | male. THORLEY
1: English surname transferred to forename use, composed of the Old English elements þorn "thorn bush" and tun "enclosure, settlement," hence "thorn bush settlement." | male. THORNTON
1: English surname transferred to forename use, composed of the Old English personal name Hucc and the word leah "clearing, wood," hence "Hucc's clearing/wood." | male. HUXLEY
1: English surname transferred to forename use, composed of the Old Norse elements kolr "black, coal" and býr "settlement," hence "coal settlement." | male. COLBY
1: English surname transferred to forename use, composed of the Old Norse name Ormarr and Old English rod "clearing," hence "Ormarr's clearing." | male. ORMEROD
1: English surname transferred to forename use, derived from a byname for someone having a sunny disposition, composed of the Middle English elements merry "cheerful, lively" and wether "weather," hence "cheerful weather." | female. MERIWETHER
1: English surname transferred to forename use, derived from a diminutive form of Old English Hob, hence "little Hob." | male. HOPKIN
1: English surname transferred to forename use, derived from a German short form of various names containing the element ragin ("advice, counsel"), hence "wise." Compare with feminine Rain. | male. RAIN
1: English surname transferred to forename use, derived from a place name composed of the Germanic name Hroda and the word eg "fen, island," hence "Hroda's fen/island." | male. RODNEY
1: English surname transferred to forename use, derived from a place name composed of the Old English elements heg "hay" and leah "field, meadow, pasture," hence "hay field." | female. HAYLEY
1: English surname transferred to forename use, derived from a place name composed of the Old English elements lind "linden, lime tree" and dun "hill," hence "lime tree hill." | male. LYNDON
1: English surname transferred to forename use, derived from a place name composed of the Old English elements ryge "rye" and hyll "hill," hence "rye hill." | male. ROYLE
1: English surname transferred to forename use, derived from a place name composed of the Old English elements staò "landing place" and ford "ford," hence "landing place at the river crossing." | male. STAFFORD
1: English surname transferred to forename use, derived from a place name composed of the Old English personal name Cola and the word tun "enclosure, settlement," hence "Cola's settlement." | male. COLTON
1: English surname transferred to forename use, derived from a place name composed of the Old Norse elements hryggr "ridge" and býr "farm, settlement," hence "ridge settlement." | male. RIGBY
1: English surname transferred to forename use, derived from a place name composed of the Old Norse elements rá "roe-deer" and skógr "copse, wood," hence "roe-deer wood." | male. ROSCOE
1: English surname transferred to forename use, derived from a place name known in the Middle Ages as "settlement of Royce." | male. ROYSTON
1: English surname transferred to forename use, derived from a variant of the Norman French surname Chancey, originally a baronial habitational name (Chancé), meaning "good fortune." | male. CHAUNCEY
1: English surname transferred to forename use, derived from a variant of the surname Guilford, composed of Old English gylde "golden" and ford "ford," hence "golden river crossing." | male. GILFORD
1: English surname transferred to forename use, derived from Old English graf "grove," hence "lives in a grove." | male. GROVER
1: English surname transferred to forename use, derived from Old English halh "nook, recess," hence "lives in a nook." | male. HALE
1: English surname transferred to forename use, derived from the city name, itself from eure-ric or eouer-ric, composed of the elements euere "wild boar" and ryc "refuge," hence "retreat from wild boars," which were in the forest of Gautries. | male. YORK
1: English surname transferred to forename use, derived from the medieval feminine name Royse, which is probably a horse-related name. | male. ROYCE
1: English surname transferred to forename use, derived from the name of a place composed of the Old English elements read "red" and leah "clearing, meadow," hence "red meadow." | male. RADLEY
1: English surname transferred to forename use, derived from the name of a place in Humberside composed of the Old English elements beofor "beaver" and lēac "stream," hence "beaver stream." The feminine form of the name is spelled without the second "e"--Beverly. | male. BEVERLEY
1: English surname transferred to forename use, derived from the name of a place in Humberside composed of the Old English elements beofor "beaver" and lēac "stream," hence "beaver stream." The masculine form of the name is spelled with an extra "e"--Beverley. | female. BEVERLY
1: English surname transferred to forename use, derived from the name of a place in Northumbria composed of the Old English elements beonet "bent grass" and tūn "enclosure; settlement," hence "bent grass settlement." | male. BENTON
1: English surname transferred to forename use, derived from the name of numerous places composed of the Old English elements mylen "mill" and ford "ford," hence "mill ford." | male. MILFORD
1: English surname transferred to forename use, derived from the name of the famous Sherwood Forest, composed of the Old English elements scir "bright, clear, shire" and wudu "wood," hence "bright forest." | male. SHERWOOD
1: English surname transferred to forename use, derived from the name of various places composed of the Old English elements beonet, "bent grass" and lēah "clearing, meadow" hence "bent grass meadow." | male. BENTLEY
1: English surname transferred to forename use, derived from the name of various places composed of the Old English elements hreod "reeds" and leah "clearing, meadow," hence "reed meadow." | male. RIDLEY
1: English surname transferred to forename use, derived from the name of various places composed of the Old English elements mere "lake, pool" and tun "enclosure, settlement," hence "lake settlement." | male. MERTON
1: English surname transferred to forename use, derived from the name of various places composed of the Old English elements neowe "new" and tun "enclosure, settlement," hence "new settlement." | male. NEWTON
1: English surname transferred to forename use, derived from the name of various places composed of the Old English elements scir "bright" and leah "clearing, meadow," hence "bright meadow." | female. SHIRLEY
1: English surname transferred to forename use, derived from the old Scottish Gaelic personal name Bláán, meaning "little yellow one." | male. BLAIN
1: English surname transferred to forename use, from a byname derived from Old English carleas, composed of the elements caru "care; grief" and leas "without," hence "carefree." | female. CORLISS
1: English surname transferred to forename use, from a byname for someone having gray hair or a beard, from Old English græg, meaning "grey." | male. GRAY
1: English surname transferred to forename use, from a contracted form of Anglo-Saxon Godmær, meaning "good fame." Compare with another form of Gomer. | male. GOMER
1: English surname transferred to forename use, from a contracted form of the surname Langdon, composed of the Old English elements lang "long" and dun "hill," hence "long hill." | male. LANDON
1: English surname transferred to forename use, from an Anglicized form (Haward) of Danish/Norwegian Håvard, meaning "high guard." | male. HOWARD
1: English surname transferred to forename use, from an Anglicized form of Gaelic Ó Leannáin "descendant of Leannán," hence "little cloak." | male. LENNON
1: English surname transferred to forename use, from an Anglicized form of Irish Gaelic Ó Bradain, meaning "descendant of Bradán," hence "salmon." | male. BRADEN
1: English surname transferred to forename use, from an old Norman French byname, ourson, a diminutive of ours "bear," hence "little bear" or "bear cub." | male. ORSON
1: English surname transferred to forename use, from an Old Norman French personal name composed of the Germanic elements mari/meri "fame" and ric "power," hence "famous power." | male. MERRICK
1: English surname transferred to forename use, from a Norman baronial name composed of the elements grand "large" and ville "settlement," hence "large settlement." | male. GRANVILLE
1: English surname transferred to forename use, from a place name composed of Old Norse sef "rush" and Old English run "enclosure, settlement," hence "rush settlement." | male. SEFTON
1: English surname transferred to forename use, from a place name composed of the Old English elements brycg "bridge" and ham "homestead," hence "homestead by the bridge." | male. BRIGHAM
1: English surname transferred to forename use, from a place name composed of the Old English elements wad "woad (a plant yielding blue dye)" and hyll "hill," hence "woad hill." | male. ODELL
1: English surname transferred to forename use, from a place name composed of the Old Norse elements diki "ditch" and býr "settlement," hence "ditch-settlement." | male. DIGBY
1: English surname transferred to forename use, from a place name in Buckinghamshire, composed of the Old English elements mere "lake, pool" and lafe "leavings, remnants," hence, "marshland." | male. MARLOWE
1: English surname transferred to forename use, from a variant of the surname Millward, a form of Millweard, an old Anglo-Saxon occupational surname composed of the Old English elements mylen "mill" and weard "guardian," hence "mill-guard." | male. MILLARD
1: English surname transferred to forename use, from Old English cnocc "round-topped hill," hence "lives on a hilltop." | male. KNOX
1: English surname transferred to forename use, from Old French Hervé, from Breton Haerveu, meaning "battle worthy." | male. HARVEY
1: English surname transferred to forename use, from Old Norse garðr ("enclosure"), denoting someone who "lives beside an enclosure." Compare with another form of Garth. | male. GARTH
1: English surname transferred to forename use, from the French form of German Kolbert, a variant of Kölber, an occupational name for a "maker of wooden clubs" and later an "armor-maker," from Middle High German kolbe, meaning "cudgel, club." | male. COLBERT
1: English surname transferred to forename use, from the name of a place in Cumbria, composed of the Old English elements mylen "mill" and burna "stream," hence "mill-stream." | male. MILBURN
1: English surname transferred to forename use, from the name of a place in Derbyshire which was recorded in the Domesday Book as Scelhadun, composed of Old English scylf "shelf" and the place name Haddon (from hæð "heathland, heather, wasteland" + dun "hill"), hence "steep-sided heather hill." | male. SHELDON
1: English surname transferred to forename use, from the name of a place in Devon composed of the Old English elements read "red" and leah "clearing, meadow," hence "red meadow." | male. RALEIGH
1: English surname transferred to forename use, from the name of numerous places composed of the Old English elements mor "marsh, moor," and leah "meadow, pasture," hence "marsh meadow." | male. MORLEY
1: English surname transferred to forename use, from the name of numerous places composed of the Old English elements norð "north" and tun "enclosure, settlement," hence "northern settlement." | male. NORTON
1: English surname transferred to forename use, from the name of numerous places composed of the Old English elements preost "priest" and tun "enclosure, settlement," hence "priest's settlement." | male. PRESTON
1: English surname transferred to forename use, from the name of numerous places composed of the Old English elements sand "sand" and ford "ford," hence "sandy river crossing." | male. SANFORD
1: English surname transferred to forename use, from the name of numerous places composed of the Old English elements stan "stone" and leah "clearing, meadow," hence "stony meadow." | male. STANLEY
1: English surname transferred to forename use, from the name of numerous places composed of the Old Norse elements kirkja "church" and býr "settlement," hence "church settlement." | male. KIRBY
1: English surname transferred to forename use, from the name of numerous places in England most of which were composed of the Old English elements lin "cotton, flax" and tun "enclosure, settlement," hence "cotton/flax settlement." | male. LINTON
1: English surname transferred to forename use, from the name of several places composed of the Old English elements cwen "queen" and tun "enclosure, settlement," hence "queen's settlement." Compare with another form of Quinton. | male. QUINTON
1: English surname transferred to forename use, from the name of various places composed of the Old English elements (ge)mæne "common, shared" and leah "meadow, pasture," hence "common meadow." Its choice as a forename is probably due to its similarity to the word manly. | male. MANLEY
1: English surname transferred to forename use, from the name of various places composed of the Old English elements hara "hare" and land "land," hence "hare's land." | male. HARLAN
1: English surname transferred to forename use, from the name of various places composed of the Old English elements norð "north" and wudu "wood," hence "north wood." | male. NORWOOD
1: English surname transferred to forename use, from the name of various places composed of the Old English elements read "red" and clif "cliff, slope, riverbank," hence "red cliff." | male. RADCLIFF
1: English surname transferred to forename use, from the name of various places composed of the Old English elements stan "stone" and ford "ford," hence "stony river crossing." | male. STANFORD
1: English surname transferred to forename use, from the name of various places composed of the Old English elements træppe "fish-trap" and ford "ford," hence "fish-trap ford." | male. TRAFFORD
1: English surname transferred to forename use, from the name of various places composed of the Old English elements wilig "willow" and tun "enclosure, settlement," hence "willow settlement." | male. WILTON
1: English surname transferred to forename use, from the name of various places derived from Old English Cynefriþestun, meaning "settlement of Cynefrið." | male. KYNASTON
1: English surname transferred to forename use, from the name of various places most of which were composed of the Old English elements brom "broom" and dun "hill," hence "broom-covered hill." | male. BRANDON
1: English surname transferred to forename use, from the name of various places, most of which were composed of the Old Norse elements birki "birch" and skógr "wood," hence "birch wood." | male. BRISCOE
1: English surname transferred to forename use, from the Old English phrase æt ðæm byrum ("at the byres or cattle-sheds"). The name was usually given to someone whose job it was to look after cattle. | male. BYRON
1: English surname transferred to forename use, from the village of Washington in Co. Durham, named from Old English Wassingtun, meaning "Wassa's settlement." | male. WASHINGTON
1: English surname transferred to forename use, from various place names composed of the Old English elements dæl "valley" and tun "enclosure, settlement," hence "valley settlement." | male. DALTON
1: English surname transferred to forename use, from various place names composed of the Old English elements scylf "shelf" and tun "enclosure, settlement," hence "shelf settlement." | male. SHELTON
1: English surname transferred to forename use, meaning, "sea war." | male. HAVELOCK
1: English surname transferred to forename use, originally a byname for someone or something "round and lumpy." | male. CADE
1: English surname transferred to forename use, originally a byname for someone who "lives in a dell/hollow." | male. DELL
1: English surname transferred to forename use, originally a Norman baronial name composed of Old French mont "hill" and Germanic Morency, hence "hill of Morency." | male. MONTMORENCY
1: English surname transferred to forename use, originally a Norman baronial name composed of Old French mont "hill" and the Germanic personal name Gomeric, hence "hill of Gomeric." | male. MONTGOMERY
1: English surname transferred to forename use, originally a Norman baronial name composed of the Old French elements mont "hill, mountain" and aigu "pointed," hence "pointed mountain." | male. MONTAGUE
1: English surname transferred to forename use, originally a Norman French diminutive form of Old French Élie, meaning "the Lord is my God." | male. ELLIOT
1: English surname transferred to forename use, originally denoting a female "dyer," but by the time it became a personal name it had already become strongly associated with Latin dexter "auspicious, right-handed," and was usually chosen as a name because of this. | male. DEXTER
1: English surname transferred to forename use, possibly composed of the Old English elements ellern "elder tree" and wudu "wood," hence "elder tree forest." | male. ELWOOD
1: English surname transferred to forename use, possibly derived from a Norman byname for a "stubborn" person. | male. TYRRELL
1: English surname transferred to forename use, possibly originally a nickname for Anglo-Saxon names containing the element dæg, meaning "day," such as Dægberht and Dægmund. | male. DAYE
1: English surname transferred to forename use, probably derived from a Middle English personal name composed of the Old English elements deor "dear" and wine "friend," hence "dear friend." | male. DARWIN
1: English surname transferred to forename use, probably from the Old French place name Beauvais, in Oise, France which got its name from the Belgic tribe of the Bellovaci (Belovasci) that some say is the name of the Fir Bolg (the ancient Irish "shining ones") of Celtic mythology. | male. BEVIS
1: English surname transferred to forename use, probably from the place name Calder in Cumbria, composed of the Welsh elements caled "hard; violent," and dwfr "stream, water," hence "violent water." | male. CALDER
1: English surname transferred to forename use, probably from the place name Keaton in Ermington, Devon, composed of the Cornish word kee "bank, hedge" and Old English tun "settlement," hence "settlement on the bank." | male. KEATON
1: English surname transferred to unisex forename use, composed of the Old English elements æsc "ash" and lēah "wood," hence "ash-tree grove." | male. ASHLEY
1: English surname transferred to unisex forename use, composed of the Old English elements derne "hidden, secret" and halh "nook," hence "hidden/secret nook." | female. DARNELL
1: English surname transferred to unisex forename use, composed of the Old English elements derne "hidden, secret" and halh "nook," hence "hidden/secret nook." | male. DARNELL
1: English surname transferred to unisex forename use, composed of the Old English elements hæð "heathland, heather, wasteland" and leah "clearing, field, meadow" hence "heather meadow." | female. HADLEY
1: English surname transferred to unisex forename use, composed of the Old English elements hæð "heathland, heather, wasteland" and leah "clearing, field, meadow" hence "heather meadow." | male. HADLEY
1: English surname transferred to unisex forename use, composed of the Old English elements heorot "hart, male deer" and leah "meadow, pasture," hence "deer meadow." | female. HARTLEY
1: English surname transferred to unisex forename use, composed of the Old English elements heorot "hart, male deer" and leah "meadow, pasture," hence "deer meadow." | female. HARTLEY
1: English surname transferred to unisex forename use, composed of the Old English elements heorot "hart, male deer" and leah "meadow, pasture," hence "deer meadow." | male. HARTLEY
1: English surname transferred to unisex forename use, composed of the Old English elements leac "leek" and tun "enclosure, settlement," hence "leek garden." | female. LEIGHTON
1: English surname transferred to unisex forename use, composed of the Old English elements leac "leek" and tun "enclosure, settlement," hence "leek garden." | male. LEIGHTON
1: English surname transferred to unisex forename use, denoting someone "from London." The name may have pre-Celtic roots, meaning something like "place at the unfordable river." | female. LONDON
1: English surname transferred to unisex forename use, denoting someone "from London." The name may have pre-Celtic roots, meaning something like "place at the unfordable river." | male. LONDON
1: English surname transferred to unisex forename use, denoting someone who "lives by a meadow." | female. MEAD
1: English surname transferred to unisex forename use, denoting someone who "lives by a meadow." | male. MEAD
1: English surname transferred to unisex forename use, derived from an Anglicized form of Gaelic Ó Caiside, "descendant of Caiside," hence "curly(-headed)." | male. CASSIDY
1: English surname transferred to unisex forename use, derived from a place name composed of the Middle English elements schele "hut" and by "farm, settlement," hence "settlement of huts." | female. SHELBY
1: English surname transferred to unisex forename use, derived from a place name composed of the Middle English elements schele "hut" and by "farm, settlement," hence "settlement of huts." | male. SHELBY
1: English surname transferred to unisex forename use, derived from a place name composed of the Old English elements ryge "rye" and leah "clearing, meadow," hence "rye meadow." | male. RILEY
1: English surname transferred to unisex forename use, derived from a place name composed of the Old Norse elements selja "willow" and býr "farm, settlement," hence "willow settlement." | female. SELBY
1: English surname transferred to unisex forename use, derived from a place name composed of the Old Norse elements selja "willow" and býr "farm, settlement," hence "willow settlement." | male. SELBY
1: English surname transferred to unisex forename use, derived from a status name for a young boy who was apprenticed to a knight, hence "page; young servant." | female. PAGE
1: English surname transferred to unisex forename use, derived from a status name for a young boy who was apprenticed to a knight, hence "page; young servant." | male. PAGE
1: English surname transferred to unisex forename use, derived from the Old Anglo-Saxon personal name Céolsige, meaning "ship-victory." | female. KELSEY
1: English surname transferred to unisex forename use, derived from the Old Anglo-Saxon personal name Céolsige, meaning "ship-victory." | male. KELSEY
1: English surname transferred to unisex forename use, derived from the Scottish place name Dalfhas, composed of the Gaelic elements dail "meadow" and fhas "stance," hence "meadow stance," i.e. a meadow used by cattle droves as an overnight dwelling. | female. DALLAS
1: English surname transferred to unisex forename use, derived from the Scottish place name Dalfhas, composed of the Gaelic elements dail "meadow" and fhas "stance," hence "meadow stance," i.e. a meadow used by cattle droves as an overnight dwelling. | male. DALLAS
1: English surname transferred to unisex forename use, from a place name composed of Old English Pæga and the word tun "enclosure, settlement," hence "Pæga's settlement." | female. PAYTON
1: English surname transferred to unisex forename use, from a place name composed of the Old English elements ryge "rye" and leah "clearing, meadow," hence "rye meadow." | female. RILEY
1: English surname transferred to unisex forename use, from Old English holegn "holly" denoting someone who "lives near holly trees." | female. HOLLIS
1: English surname transferred to unisex forename use, from Old English holegn "holly" denoting someone who "lives near holly trees." | male. HOLLIS
1: English surname transferred to unisex forename use, from the name of a place composed of the Old English name Pæga and the word tun "enclosure, settlement," hence "Pæga's settlement." | male. PAYTON
